step,epoch,loss,learning_rate,mean_token_accuracy
5,0.06309148264984227,1.488123893737793,8e-05,0.8610814660787582
10,0.12618296529968454,0.20308349132537842,9.983576774858776e-05,0.9583943232893943
15,0.1892744479495268,0.0379626601934433,9.917042286978064e-05,0.9908937484025955
20,0.25236593059936907,0.042953860759735105,9.80005229141163e-05,0.9855171367526054
25,0.31545741324921134,0.05319278240203858,9.633807263826744e-05,0.979472678899765
30,0.3785488958990536,0.04591156244277954,9.420013103171892e-05,0.9887816295027733
35,0.4416403785488959,0.03348434567451477,9.16086362684512e-05,0.9876493826508522
40,0.5047318611987381,0.047910860180854796,8.85901805915881e-05,0.9823957577347755
45,0.5678233438485805,0.05744079351425171,8.517573744099741e-05,0.9828136786818504
50,0.6309148264984227,0.03910611569881439,8.140034362388399e-05,0.9876109212636948
55,0.694006309148265,0.0387220174074173,7.730273978973552e-05,0.986610920727253
60,0.7570977917981072,0.02879282832145691,7.292497289883433e-05,0.9907780066132545
65,0.8201892744479495,0.034895274043083194,6.831196476354614e-05,0.9885728776454925
70,0.8832807570977917,0.035672536492347716,6.351105108973644e-05,0.9868621721863746
75,0.9463722397476341,0.03297134935855865,5.8571495748372684e-05,0.9880644530057907
80,1.0,0.03750223815441132,5.354398526154365e-05,0.985387888024835
85,1.0630914826498423,0.03651655912399292,4.8480108690152876e-05,0.9845563724637032
90,1.1261829652996846,0.03179260492324829,4.3431828260342674e-05,0.9855660483241081
95,1.1892744479495267,0.02936294674873352,3.845094616073783e-05,0.9894333884119988
100,1.252365930599369,0.0346045047044754,3.3588572981890685e-05,0.9866177484393119
105,1.3154574132492114,0.028959959745407104,2.8894603252458408e-05,0.9856530040502548
110,1.3785488958990535,0.037286922335624695,2.4417203453820892e-05,0.9854370087385178
115,1.4416403785488958,0.023247091472148894,2.0202317766802154e-05,0.9899903789162636
120,1.5047318611987381,0.02176447808742523,1.6293196622202635e-05,0.9909450903534889
125,1.5678233438485805,0.024586308002471923,1.2729952892852021e-05,0.9898240700364113
130,1.6309148264984228,0.03060787320137024,9.549150281252633e-06,0.9909034237265587
135,1.694006309148265,0.033706143498420715,6.783428126513125e-06,0.9877715945243836
140,1.7570977917981072,0.043960434198379514,4.46116648056118e-06,0.9896630391478538
145,1.8201892744479495,0.01746705025434494,2.606194890406366e-06,0.9938301250338555
150,1.8832807570977916,0.029315218329429626,1.2375478747413017e-06,0.9909034237265587
155,1.946372239747634,0.02614072561264038,3.692696040220267e-07,0.9948749974370003
160,2.0,0.04522848129272461,1.0269788274358538e-08,0.9870357005035176
